PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
D. James,3,127.83,30,64,47%,10,25,40%,15,20,75%,24,5,3,1,22,23,8,12,-1,85,MER
G. Lawal,7,277.02,80,144,56%,0,7,0%,24,53,45%,10,8,7,56,94,150,23,33,-26,184,MER
C. Newsome,12,425.92,67,153,44%,11,40,28%,39,48,81%,38,12,5,12,49,61,32,28,2,184,MER
B. Amer,12,329.73,48,127,38%,17,52,33%,12,13,92%,38,9,1,5,30,35,20,13,-41,125,MER
R. Almazan,8,159.9,22,53,42%,3,11,27%,10,15,67%,6,3,10,17,26,43,30,14,-30,57,MER
M. Tolomia,3,28.9,7,17,41%,2,5,40%,1,4,25%,2,0,0,1,3,4,4,1,2,17,MER
N. Salva,12,189.1,26,66,39%,9,26,35%,5,5,100%,8,3,1,8,23,31,14,6,-41,66,MER
C. Hodge,12,339.15,25,72,35%,1,8,13%,12,21,57%,21,14,5,23,35,58,37,10,28,63,MER
T. Jackson,12,183.48,20,55,36%,12,27,44%,4,7,57%,18,6,1,7,12,19,16,10,-12,56,MER
R. de Ocampo,10,126.33,14,43,33%,6,21,29%,11,17,65%,17,1,0,6,16,22,12,1,-8,45,MER
B. Faundo,6,88.95,13,26,50%,0,1,0%,0,0,0%,3,1,0,3,12,15,14,3,37,26,MER
N. Canaleta,8,71.25,11,25,44%,7,14,50%,2,3,67%,3,2,1,1,10,11,14,5,8,31,MER
N. Pinto,9,104.63,12,32,38%,6,17,35%,4,4,100%,11,3,0,9,7,16,16,8,-36,34,MER
A. Caram,9,129.78,12,33,36%,1,6,17%,7,8,88%,14,3,0,4,10,14,13,4,27,32,MER
K. Quinto,12,141.23,14,42,33%,4,11,36%,6,13,46%,13,4,0,11,16,27,16,7,-30,38,MER
R. Hugnatan,10,85.63,9,27,33%,1,11,9%,3,4,75%,9,1,0,4,13,17,7,6,-23,22,MER
G. Espinas,2,18.2,1,3,33%,0,0,0%,1,2,50%,1,0,0,2,1,3,2,2,-5,3,MER
R. Jamito,2,0.9,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,MER
J. Taylor,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
