PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
C. Newsome,11,30.2,5.18,11.64,45%,1.0,3.64,28%,2.27,2.91,78%,4.18,1.09,0.36,1.18,5.36,6.55,2.82,2.09,-0.09,13.64,MER
B. Amer,11,24.5,4.18,11.18,37%,1.73,5.82,30%,1.73,2.18,79%,1.82,1.27,0.0,0.64,3.18,3.82,2.09,1.55,1.64,11.82,MER
N. Salva,11,23.63,4.27,8.73,49%,0.91,2.36,38%,1.82,2.18,83%,1.18,0.55,0.36,1.18,3.45,4.64,1.82,1.36,3.0,11.27,MER
R. de Ocampo,9,28.06,3.78,11.11,34%,1.22,4.0,31%,1.44,2.11,68%,2.78,0.89,0.33,1.78,5.22,7.0,1.56,1.89,0.44,10.22,MER
C. Hodge,11,32.52,4.09,8.91,46%,0.09,1.0,9%,1.73,2.91,59%,3.36,0.73,0.55,3.27,5.82,9.09,2.55,0.73,-1.18,10.0,MER
J. Dillinger,5,20.32,2.8,6.0,47%,1.4,3.2,44%,0.8,1.0,80%,1.2,0.2,0.2,0.4,4.8,5.2,2.6,0.2,0.2,7.8,MER
N. Canaleta,9,12.51,2.56,5.78,44%,0.89,2.67,33%,0.89,1.0,89%,0.78,0.33,0.11,0.56,2.0,2.56,1.11,0.44,-3.44,6.89,MER
R. Hugnatan,11,21.94,2.27,7.45,30%,0.45,2.82,16%,1.55,1.82,85%,0.73,0.09,0.27,1.36,3.82,5.18,2.18,1.36,0.73,6.55,MER
T. Jackson,10,14.51,2.0,5.2,38%,1.2,3.0,40%,0.9,1.1,82%,1.6,0.2,0.1,0.2,1.1,1.3,1.6,1.3,-1.7,6.1,MER
K. Quinto,9,11.51,1.44,3.0,48%,0.22,0.56,40%,0.56,0.67,83%,1.44,0.22,0.0,1.11,1.0,2.11,0.89,0.44,-5.0,3.67,MER
N. Pinto,10,12.49,0.9,3.7,24%,0.3,1.6,19%,1.2,1.8,67%,1.6,0.3,0.1,0.6,1.1,1.7,2.1,0.5,-5.0,3.3,MER
M. Tolomia,10,11.47,1.3,3.8,34%,0.3,2.1,14%,0.3,0.5,60%,1.4,0.5,0.0,0.4,1.1,1.5,1.8,0.8,-1.6,3.2,MER
A. Caram,9,11.9,1.22,3.78,32%,0.22,0.78,29%,0.11,0.22,50%,1.22,0.22,0.0,0.22,0.67,0.89,1.33,0.22,-1.33,2.78,MER
B. Faundo,9,10.32,1.11,3.44,32%,0.0,0.0,0%,0.11,0.33,33%,0.0,0.11,0.33,0.44,1.33,1.78,1.67,0.56,-3.44,2.33,MER
R. Jamito,4,5.33,0.75,1.0,75%,0.0,0.0,0%,0.0,0.25,0%,0.25,0.0,0.0,1.0,0.25,1.25,0.75,0.0,-3.25,1.5,MER
J. Ballesteros,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
K. Bono,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
G. Lanete,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
