PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Brownlee,7,37.98,10.29,23.0,45%,1.29,6.0,21%,4.43,5.29,84%,6.43,1.71,1.0,3.0,9.86,12.86,2.0,4.29,12.29,26.29,GIN
C. Garcia,4,34.84,6.5,14.25,46%,0.0,0.25,0%,4.75,8.25,58%,4.0,1.75,0.75,3.25,7.0,10.25,3.75,2.5,2.0,17.75,GIN
J. Aguilar,11,29.32,6.18,11.82,52%,0.27,0.82,33%,4.36,6.0,73%,1.91,0.36,1.09,2.64,4.27,6.91,2.27,1.73,1.82,17.0,GIN
L. Tenorio,11,33.97,4.27,10.73,40%,1.64,4.91,33%,1.55,1.82,85%,5.55,2.09,0.09,0.73,3.45,4.18,1.73,2.0,3.82,11.73,GIN
G. Slaughter,9,25.92,4.11,10.22,40%,0.0,0.0,0%,2.0,3.33,60%,1.44,0.33,0.67,3.44,5.22,8.67,2.0,2.33,6.22,10.22,GIN
J. Devance,11,20.4,3.73,7.18,52%,1.73,3.82,45%,0.18,0.36,50%,2.0,0.82,0.0,0.45,2.27,2.73,1.18,2.45,2.55,9.36,GIN
S. Thompson,11,31.51,3.27,7.0,47%,0.73,2.64,28%,2.0,2.82,71%,5.36,1.09,0.27,2.45,5.91,8.36,2.18,2.55,3.45,9.27,GIN
S. Mercado,10,20.72,2.8,6.9,41%,0.5,2.1,24%,0.8,1.6,50%,1.8,1.3,0.5,0.6,2.0,2.6,1.9,1.0,8.3,6.9,GIN
K. Ferrer,11,15.3,2.36,4.82,49%,1.55,3.64,43%,0.0,0.0,0%,1.0,0.73,0.18,0.82,2.0,2.82,1.18,0.64,4.64,6.27,GIN
K. Ferrer,11,15.29,2.36,4.82,49%,1.55,3.64,43%,0.0,0.0,0%,1.0,0.73,0.18,0.82,2.0,2.82,1.18,0.64,4.64,6.27,GIN
J. Chan,3,18.7,1.33,6.0,22%,0.0,2.67,0%,1.33,2.0,67%,3.33,1.0,0.0,0.67,2.0,2.67,0.67,1.67,11.0,4.0,GIN
M. Caguioa,10,7.15,1.4,3.5,40%,0.0,0.0,0%,0.3,0.5,60%,0.3,0.2,0.1,0.5,1.3,1.8,0.9,0.3,-1.3,3.1,GIN
P. Caperal,8,5.54,1.13,2.38,47%,0.13,0.38,33%,0.25,0.38,67%,0.25,0.38,0.0,1.0,0.38,1.38,1.0,0.38,-3.63,2.63,GIN
J. Cruz,7,6.46,1.0,2.14,47%,0.29,0.71,40%,0.29,0.57,50%,0.43,0.0,0.0,0.29,1.0,1.29,0.43,0.86,-3.57,2.57,GIN
A. Mariano,8,7.83,0.88,2.38,37%,0.0,0.0,0%,0.5,1.38,36%,0.63,0.0,0.0,0.63,0.75,1.38,0.63,0.88,-3.0,2.25,GIN
R. Aguilar,4,3.63,0.5,1.25,40%,0.25,0.5,50%,0.0,0.0,0%,0.0,0.25,0.0,1.0,0.25,1.25,0.75,0.25,-4.75,1.25,GIN
P. Taha,3,3.3,0.33,0.33,100%,0.0,0.0,0%,0.0,0.0,0%,0.33,0.0,0.0,0.67,0.0,0.67,0.33,0.33,-3.0,0.67,GIN
J. Manuel,5,3.94,0.0,1.0,0%,0.0,0.4,0%,0.4,0.4,100%,0.2,0.0,0.2,0.2,0.4,0.6,0.6,0.6,-4.6,0.4,GIN
J. Chan,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
R. Jamito,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIN
