PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Harris,11,36.17,11.64,21.91,53%,2.18,6.64,33%,4.36,6.09,72%,2.64,0.82,1.36,5.27,16.45,21.73,2.36,3.27,7.0,29.82,ALA
V. Manuel,11,25.07,7.36,15.55,47%,0.0,0.0,0%,1.18,2.0,59%,1.45,0.91,0.18,1.45,3.64,5.09,3.45,1.45,4.27,15.91,ALA
C. Banchero,11,31.1,6.64,13.64,49%,0.91,3.27,28%,1.64,3.09,53%,8.73,1.09,0.18,1.27,3.09,4.36,2.55,3.27,4.27,15.82,ALA
S. Enciso,11,30.32,3.91,9.82,40%,3.0,7.64,39%,0.36,0.55,67%,3.82,0.55,0.09,0.09,1.55,1.64,1.55,1.0,1.55,11.18,ALA
J. Casio,11,19.86,2.64,5.91,45%,1.09,3.0,36%,0.64,0.82,78%,3.45,0.45,0.09,0.18,1.64,1.82,1.73,0.91,4.64,7.0,ALA
N. Baclao,11,19.17,2.55,5.73,44%,0.0,0.0,0%,0.82,1.36,60%,1.09,0.27,1.18,2.27,2.82,5.09,4.18,1.09,2.09,5.91,ALA
J. Teng,11,17.2,1.91,5.82,33%,0.0,0.45,0%,1.09,1.82,60%,1.55,0.36,0.09,1.36,1.91,3.27,2.18,1.0,-0.64,4.91,ALA
K. Racal,11,21.71,1.64,4.73,35%,0.64,2.36,27%,0.91,1.27,71%,1.82,1.09,0.09,1.18,2.09,3.27,1.55,0.91,2.36,4.82,ALA
K. Racal,11,21.71,1.64,4.73,35%,0.64,2.36,27%,0.91,1.27,71%,1.82,1.09,0.09,1.18,2.09,3.27,1.55,0.91,0.0,4.82,ALA
C. Exciminiano,11,16.89,1.64,3.82,43%,0.64,2.18,29%,0.18,0.27,67%,1.36,1.45,0.18,0.73,1.64,2.36,2.18,0.18,9.36,4.09,ALA
A. Galliguez,3,6.6,1.33,3.0,44%,1.0,2.67,38%,0.0,0.0,0%,1.33,1.0,0.33,0.0,0.33,0.33,0.67,0.33,-1.0,3.67,ALA
Y. Andrada,2,3.4,1.5,2.0,75%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.5,-3.0,3.0,ALA
S. Thoss,5,10.05,1.4,2.6,54%,0.0,0.2,0%,0.0,0.0,0%,0.6,0.0,0.0,0.8,1.4,2.2,2.4,1.2,0.0,2.8,ALA
M. Magat,2,6.3,1.0,2.0,50%,0.0,0.5,0%,0.0,0.0,0%,0.0,0.0,0.5,0.0,1.5,1.5,1.0,0.5,1.5,2.0,ALA
C. Cruz,1,6.95,1.0,2.0,50%,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-4.0,2.0,ALA
D. Potts,1,6.95,0.0,1.0,0%,0.0,1.0,0%,2.0,2.0,100%,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,-4.0,2.0,ALA
J. Pascual,8,7.4,0.63,2.25,28%,0.0,0.0,0%,0.25,0.88,29%,0.25,0.13,0.75,0.5,1.5,2.0,2.38,0.25,1.25,1.5,ALA
S. Eman,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
E. Menk,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
J. Vanlandingham,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
C. Jefferson,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
