PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Watts,2,38.23,12.0,26.5,45%,3.5,8.0,44%,3.5,5.0,70%,2.5,1.0,1.0,2.0,11.0,13.0,3.5,4.0,-15.5,31.0,ALA
F. House,8,38.39,7.25,16.75,43%,0.13,0.88,14%,3.63,4.5,81%,3.63,0.25,0.88,5.63,7.88,13.5,4.88,3.5,2.88,18.25,ALA
J. Teng,5,27.11,5.6,13.4,42%,0.6,1.8,33%,3.2,3.8,84%,3.0,0.4,0.2,1.6,6.2,7.8,2.2,1.4,3.6,15.0,ALA
V. Manuel,11,25.97,5.73,13.36,43%,0.0,0.09,0%,2.18,2.27,96%,0.82,0.55,0.36,0.91,4.73,5.64,2.0,1.91,-7.09,13.64,ALA
A. Tratter,11,23.13,3.55,7.55,47%,0.0,0.18,0%,3.64,5.55,66%,0.73,0.55,0.18,2.27,3.82,6.09,2.64,1.91,0.45,10.73,ALA
S. Enciso,11,29.08,3.09,8.36,37%,1.09,4.27,26%,1.0,1.45,69%,3.73,0.82,0.09,0.91,2.0,2.91,1.73,0.91,-3.82,8.27,ALA
M. Ahanmisi,3,19.95,2.67,5.33,50%,1.0,2.33,43%,1.67,3.0,56%,1.67,2.0,0.0,1.0,3.33,4.33,2.33,1.67,4.67,8.0,ALA
R. Herndon,2,17.6,2.5,7.0,36%,1.0,3.5,29%,0.5,1.5,33%,1.5,2.0,0.0,0.0,1.5,1.5,0.5,0.5,-1.5,6.5,ALA
K. Racal,1,20.48,2.0,7.0,29%,1.0,4.0,25%,0.0,0.0,0%,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-6.0,5.0,ALA
J. Thoss,7,17.41,2.0,5.86,34%,0.0,0.29,0%,0.86,1.14,75%,0.86,0.86,0.43,1.43,1.14,2.57,1.71,0.71,-8.0,4.86,ALA
M. Ayaay,11,20.69,1.73,4.36,40%,0.27,1.27,21%,0.91,1.27,71%,1.45,0.45,0.0,0.82,2.73,3.55,2.09,1.0,-0.18,4.64,ALA
A. Galliguez,8,10.82,1.0,3.38,30%,0.38,2.38,16%,0.0,0.0,0%,0.75,0.38,0.0,0.25,0.88,1.13,1.38,0.38,-0.75,2.38,ALA
N. Baclao,1,6.83,1.0,3.0,33%,0.0,0.0,0%,0.0,1.0,0%,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-8.0,2.0,ALA
J. Pascual,7,5.44,0.57,1.43,40%,0.0,0.0,0%,0.14,0.43,33%,0.14,0.29,0.0,0.57,0.71,1.29,1.71,0.57,-0.71,1.29,ALA
J. Casio,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
C. Banchero,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
J. Brondial,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
S. Thoss,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
K. Racal,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
Y. Andrada,2,5.6,0.0,0.5,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,1.5,0.0,1.5,0.5,0.5,-8.5,0.0,ALA
M. Ahanmisi,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
G. Babilonia,2,2.01,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,5.0,0.0,ALA
