PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Fajardo,10,36.82,83,130,64%,0,0,0%,62,95,65%,18,6,21,50,83,133,17,34,59,228,SMB
A. Cabagnot,5,34.6,35,89,39%,9,32,28%,10,18,56%,21,3,1,3,29,32,8,8,20,89,SMB
M. Lassiter,11,36.76,68,182,37%,32,90,36%,17,21,81%,35,13,11,17,44,61,23,25,60,185,SMB
A. Santos,11,35.41,71,167,43%,30,90,33%,9,16,56%,32,16,22,18,97,115,23,24,41,181,SMB
C. Ross,11,36.6,39,104,38%,7,40,18%,44,54,81%,72,21,1,13,52,65,28,41,53,129,SMB
M. Ganuelas-Rosser,11,16.02,30,54,56%,0,1,0%,6,15,40%,14,11,3,15,40,55,28,13,4,66,SMB
G. Espinas,3,11.7,6,14,43%,0,3,0%,2,5,40%,1,2,3,5,14,19,5,6,-1,14,SMB
V. Pessumal,11,12.68,19,57,33%,8,33,24%,4,5,80%,3,4,1,10,10,20,17,9,-17,50,SMB
Y. de Ocampo,8,0.0,13,28,46%,5,9,56%,3,4,75%,0,0,2,7,16,23,7,4,-10,34,SMB
C. Lanete,8,0.0,13,31,42%,5,15,33%,3,6,50%,13,5,0,4,13,17,6,7,30,34,SMB
B. Heruela,11,4.34,18,44,41%,5,19,26%,5,7,71%,24,13,3,6,18,24,14,16,3,46,SMB
L. Vigil,5,1.75,3,8,38%,0,1,0%,3,4,75%,3,0,0,1,3,4,6,6,-13,9,SMB
B. Mamaril,8,11.18,3,14,21%,0,0,0%,0,1,0%,1,1,1,6,1,7,15,9,-24,6,SMB
D. Semerad,7,0.0,1,8,13%,0,0,0%,2,4,50%,0,0,0,4,9,13,11,1,10,4,SMB
K. Agovida,4,1.4,0,1,0%,0,0,0%,2,2,100%,0,0,1,1,3,4,1,3,-17,2,SMB
N. Omolon,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
A. Reid,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
M. Mabulac,1,0.73,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,1,0,-8,0,SMB
M. Abdeen,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
E. Millsap,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
C. Rhodes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
