PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
P. Lee,1,30.33,8,13,62%,3,6,50%,0,0,0%,3,1,0,1,4,5,2,5,-16,19,MAG
J. Corpuz,1,30.0,6,7,86%,1,1,100%,3,6,50%,1,0,0,5,8,13,3,2,-6,16,MAG
I. Sangalang,1,38.83,6,17,35%,0,0,0%,4,9,44%,3,1,0,5,6,11,0,4,-14,16,MAG
A. Barroca,1,31.08,3,9,33%,0,2,0%,2,2,100%,4,1,0,1,2,3,5,3,-7,8,MAG
J. Jalalon,1,24.2,4,13,31%,0,1,0%,0,0,0%,3,2,0,2,6,8,3,4,14,8,MAG
P. Simon,1,11.37,2,3,67%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,1,-3,4,MAG
J. Melton,1,16.38,1,3,33%,1,2,50%,0,0,0%,0,0,0,0,0,0,0,1,-13,3,MAG
R. dela Rosa,1,19.83,1,5,20%,1,2,50%,0,0,0%,2,1,0,3,2,5,0,0,-3,3,MAG
R. Gamalinda,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
R. Reavis,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
M. Pingris,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
C. Banchero,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
K. Pascual,1,15.05,0,3,0%,0,0,0%,0,0,0%,0,1,0,1,0,1,3,0,-5,0,MAG
M. Abundo,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
M. Calisaan,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MAG
