PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
W. McKines,5,37.64,10.4,20.2,51%,0.4,1.0,40%,5.0,8.6,58%,4.4,1.2,1.4,6.2,8.0,14.2,3.6,3.2,5.2,26.2,SMB
T. Watson,4,36.87,8.75,17.0,51%,0.5,1.5,33%,4.0,6.25,64%,3.5,1.25,2.5,6.25,6.75,13.0,2.75,4.0,1.5,22.0,SMB
J. Fajardo,10,30.65,7.1,12.0,59%,0.1,0.1,100%,4.2,5.8,72%,1.7,0.9,2.0,3.8,6.8,10.6,1.4,2.7,4.1,18.5,SMB
A. Santos,11,29.81,6.55,13.73,48%,3.0,7.27,41%,1.45,2.55,57%,1.64,0.73,1.82,2.09,4.36,6.45,2.64,1.36,5.91,17.55,SMB
M. Lassiter,11,36.92,5.45,13.73,40%,2.27,6.64,34%,2.27,2.91,78%,2.64,1.18,0.09,0.64,3.09,3.73,2.36,2.27,3.09,15.45,SMB
A. Cabagnot,11,36.56,5.82,16.0,36%,1.45,6.18,24%,2.36,2.91,81%,4.45,0.82,0.27,1.0,4.36,5.36,2.0,2.45,5.91,15.45,SMB
C. Ross,11,36.83,2.55,8.0,32%,1.0,3.64,28%,2.55,3.55,72%,6.45,2.82,0.09,0.64,3.73,4.36,2.91,1.82,2.55,8.64,SMB
R. McCarthy,1,3.28,1.0,2.0,50%,1.0,1.0,100%,2.0,2.0,100%,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,SMB
G. Espinas,11,9.82,1.55,3.09,50%,0.09,0.45,20%,0.64,0.91,70%,0.64,0.27,0.0,0.64,1.73,2.36,1.09,1.0,-2.82,3.82,SMB
T. Bridgeman,2,18.59,1.5,6.5,23%,0.0,1.0,0%,0.0,0.0,0%,1.0,0.5,0.5,1.5,3.5,5.0,3.0,4.0,-14.0,3.0,SMB
M. Ganuelas-Rosser,11,11.86,1.09,2.18,50%,0.0,0.0,0%,0.27,0.64,43%,0.73,0.36,0.45,0.73,1.36,2.09,2.36,0.45,0.64,2.45,SMB
K. Agovida,1,3.12,0.0,2.0,0%,0.0,0.0,0%,2.0,2.0,100%,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,SMB
B. Heruela,9,9.72,0.78,2.78,28%,0.11,1.11,10%,0.22,0.44,50%,0.78,0.67,0.11,0.78,1.44,2.22,0.78,0.89,-0.33,1.89,SMB
J. Reyes,1,10.5,0.0,2.0,0%,0.0,2.0,0%,1.0,2.0,50%,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,-11.0,1.0,SMB
V. Pessumal,5,5.66,0.4,2.4,17%,0.2,1.8,11%,0.0,0.0,0%,0.4,0.2,0.0,0.2,0.4,0.6,1.0,0.2,-3.4,1.0,SMB
R. Tubid,7,4.17,0.29,2.0,14%,0.14,1.14,13%,0.14,0.29,50%,0.0,0.0,0.0,0.29,0.29,0.57,0.86,0.0,-3.43,0.86,SMB
Y. de Ocampo,4,3.38,0.25,1.25,20%,0.0,0.25,0%,0.0,0.0,0%,0.25,0.0,0.0,0.5,0.25,0.75,0.0,0.5,-4.0,0.5,SMB
D. Semerad,2,2.78,0.0,0.5,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.5,0.0,0.5,2.0,0.0,2.5,0.0,SMB
A. Reid,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
M. Mabulac,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
E. Millsap,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
