PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
K. Ravena,11,0.0,59,135,44%,13,38,34%,39,49,80%,59,21,2,1,37,38,24,23,-6,170,NLX
J. Quinahan,11,0.0,66,154,43%,2,24,8%,23,32,72%,23,4,13,15,56,71,38,19,-8,157,NLX
K. Alas,11,0.0,46,111,41%,12,43,28%,22,29,76%,27,7,4,13,40,53,21,28,-27,126,NLX
K. Alas,11,0.0,46,111,41%,12,43,28%,22,29,76%,27,7,4,13,40,53,21,28,-24,126,NLX
L. Fonacier,11,0.0,42,95,44%,20,52,38%,13,16,81%,27,4,3,10,30,40,13,11,-79,117,NLX
A. Mallari,10,0.0,32,88,36%,11,32,34%,15,25,60%,16,3,0,8,30,38,12,23,29,90,NLX
J. Tiongson,10,0.0,26,70,37%,16,43,37%,5,8,63%,23,11,0,3,21,24,16,14,7,73,NLX
M. Miranda,10,0.0,29,72,40%,6,20,30%,7,10,70%,8,2,7,14,40,54,37,15,-23,71,NLX
R. Al-Hussaini,9,0.0,20,47,43%,1,2,50%,10,16,63%,5,0,0,9,28,37,11,10,-27,51,NLX
R. Soyud,8,0.0,19,31,61%,3,6,50%,2,5,40%,2,3,3,19,25,44,20,10,-20,43,NLX
C. Baguio,11,0.0,23,42,55%,4,12,33%,7,9,78%,31,13,3,13,34,47,14,10,35,57,NLX
R. Buenafe,1,0.0,1,1,100%,1,1,100%,0,0,0%,1,0,0,0,1,1,1,0,-7,3,NLX
E. Monfort,4,0.0,5,7,71%,1,1,100%,1,2,50%,5,4,0,1,7,8,8,1,8,12,NLX
K. Ighalo,5,0.0,6,16,38%,2,7,29%,1,2,50%,3,1,1,4,8,12,4,5,-9,15,NLX
J. Rios,2,0.0,2,4,50%,1,2,50%,0,0,0%,1,2,0,2,1,3,1,0,-12,5,NLX
A. Gotladera,9,0.0,10,24,42%,0,1,0%,1,2,50%,4,0,1,7,12,19,7,3,16,21,NLX
A. Taulava,10,0.0,8,22,36%,3,12,25%,0,3,0%,7,4,2,7,18,25,12,8,-17,19,NLX
J. Uyloan,5,0.0,3,11,27%,3,10,30%,0,0,0%,4,2,1,3,6,9,3,3,-40,9,NLX
C. Lastimosa,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
J. Villanueva,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
E. Villanueva,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
R. Reyes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
H. Arboleda,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
R. Akl,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
J. Rios,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
W. Chism,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,NLX
