Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
SMB,26,11.69,36.23,32%,23.96,48.38,50%,35.65,84.62,42%,16.19,23.92,68%,34.77,14.00,48.77,21.62,7.88,5.38,15.85,17.00,23.38,8.00,8.65,14.73,28.15,99.19,17 , 9
MAG,28,7.64,25.82,30%,26.61,57.71,46%,34.25,83.54,41%,12.57,18.14,69%,35.39,15.43,50.82,18.64,8.04,3.64,15.93,17.71,24.46,6.36,6.89,12.21,39.04,88.71,15 , 13
ROS,19,10.95,34.58,32%,19.26,43.58,44%,30.21,78.16,39%,16.58,24.58,67%,33.42,12.16,45.58,18.84,6.79,3.58,14.00,16.53,23.26,4.89,5.47,8.74,42.68,87.95,12 , 7
PHX,17,6.53,23.35,28%,27.06,61.53,44%,33.59,84.88,40%,20.24,28.94,70%,36.71,18.29,55.00,21.29,8.29,3.35,19.65,18.47,29.00,7.06,7.65,12.41,40.18,93.94,11 , 6
TNT,14,10.50,37.14,28%,22.57,47.71,47%,33.07,84.86,39%,14.00,22.43,62%,33.93,15.21,49.14,20.00,11.00,3.57,16.36,17.64,26.57,7.43,8.50,13.86,37.00,90.64,8 , 6
GIN,14,5.93,21.07,28%,28.43,57.57,49%,34.36,78.64,44%,14.00,21.93,64%,36.00,14.64,50.64,24.21,7.79,3.64,19.50,15.64,18.00,4.21,4.79,8.00,34.00,88.64,8 , 6
GLO,12,9.25,29.58,31%,28.00,53.50,52%,37.25,83.08,45%,17.58,24.50,72%,32.42,12.83,45.25,21.58,10.83,2.25,18.17,20.00,24.92,10.08,11.00,18.00,37.17,101.33,5 , 7
ALA,13,8.62,27.38,31%,23.85,54.69,44%,32.46,82.08,40%,12.85,21.38,60%,33.31,13.38,46.69,18.15,6.62,3.54,14.62,15.69,24.85,5.23,6.23,8.92,31.54,86.38,5 , 8
NLX,12,12.25,36.17,34%,21.58,45.17,48%,33.83,81.33,42%,12.33,17.25,71%,35.75,12.92,48.67,24.67,7.50,5.92,19.58,14.92,22.00,8.92,9.50,15.83,51.50,92.25,4 , 8
COL,11,9.09,28.64,32%,25.36,55.00,46%,34.45,83.64,41%,16.36,25.18,65%,31.55,13.64,45.18,18.09,9.27,3.55,16.55,18.45,25.27,7.64,8.27,14.00,45.00,94.36,4 , 7
MER,11,8.55,29.73,29%,25.09,55.00,46%,33.64,84.73,40%,14.18,19.18,74%,35.27,12.64,47.91,21.18,6.18,2.45,13.55,14.73,23.27,5.00,5.18,8.82,40.64,90.00,3 , 8
BWE,11,7.82,25.64,30%,26.73,60.09,44%,34.55,85.73,40%,15.91,24.00,66%,30.82,14.82,45.64,19.64,9.27,2.09,16.36,18.00,22.82,7.36,8.09,13.55,43.45,92.82,2 , 9
