Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
SMB,1,12.00,32.00,38%,25.00,44.00,57%,37.00,76.00,49%,8.00,16.00,50%,30.00,10.00,40.00,25.00,12.00,5.00,19.00,21.00,26.00,6.00,6.00,13.00,16.00,94.00,1 , 0
MAG,1,6.00,16.00,38%,25.00,65.00,38%,31.00,81.00,38%,10.00,19.00,53%,32.00,19.00,51.00,22.00,7.00,0.00,22.00,17.00,17.00,5.00,5.00,8.00,39.00,78.00,0 , 1
