Team,GP,3Pm,3Pa,3P%,2Pm,2Pa,2P%,FGm,FGa,FG%,FTm,FTa,FT%,dREB,oREB,REB,AST,STL,BLK,TO,PTO,PF,FBm,FBa,FBm%,bPTS,PTS,W,L
GIN,23,7.65,22.48,34%,30.35,60.70,50%,38.00,83.17,46%,15.87,24.26,65%,36.83,14.52,51.35,24.35,6.70,7.61,17.30,17.09,19.17,5.39,6.00,9.52,29.00,99.52,16 , 7
MER,23,9.96,27.87,36%,25.74,55.00,47%,35.70,82.87,43%,13.48,19.22,70%,35.39,14.00,49.39,22.91,5.26,3.48,15.43,15.30,21.04,6.43,7.13,11.83,25.87,94.83,16 , 7
TNT,17,10.47,33.59,31%,28.35,55.06,51%,38.82,88.65,44%,17.24,24.29,71%,36.41,13.94,50.35,21.06,8.00,3.12,17.12,17.12,25.65,7.35,8.24,13.41,27.94,105.35,10 , 7
ROS,13,12.23,36.46,34%,25.54,51.46,50%,37.77,87.92,43%,14.08,20.92,67%,38.85,14.92,53.77,22.15,7.31,4.38,17.69,18.62,23.54,6.46,7.08,11.54,45.08,101.85,8 , 5
MAG,15,7.47,23.80,31%,29.73,61.13,49%,37.20,84.93,44%,14.20,18.73,76%,33.27,13.27,46.53,18.87,8.47,3.40,15.67,21.20,23.20,7.07,7.47,13.27,42.60,96.07,8 , 7
SMB,12,8.67,27.58,31%,29.83,61.42,49%,38.50,89.00,43%,16.75,24.58,68%,33.08,15.92,49.00,21.92,8.33,6.50,17.25,20.83,19.92,7.00,7.75,13.50,23.17,102.42,7 , 5
NLX,12,7.58,24.83,31%,31.67,65.67,48%,39.25,90.50,43%,15.67,22.58,69%,37.58,15.75,53.33,20.17,7.75,5.00,18.83,19.08,23.42,8.33,9.42,15.67,50.58,101.75,7 , 5
BWE,13,10.77,31.54,34%,25.15,54.08,47%,35.92,85.62,42%,14.77,20.46,72%,36.15,11.00,47.15,16.23,6.54,4.38,15.69,15.23,22.15,4.92,5.23,8.54,28.85,97.38,6 , 7
ALA,11,7.45,27.27,27%,28.27,62.91,45%,35.73,90.18,40%,15.09,21.64,70%,34.82,14.91,49.73,18.91,8.45,5.91,15.64,17.64,22.27,7.18,8.18,11.91,36.73,94.00,3 , 8
GLO,11,9.64,27.55,35%,29.09,58.82,49%,38.73,86.36,45%,13.55,20.09,67%,34.18,15.91,50.09,19.27,7.00,3.82,20.45,15.82,24.18,8.27,9.45,16.27,35.00,100.64,3 , 8
PHX,11,8.00,24.91,32%,28.64,61.55,47%,36.64,86.45,42%,16.82,24.91,68%,34.91,14.64,49.55,17.64,7.36,4.18,18.00,19.18,24.18,6.45,7.09,12.45,39.73,98.09,2 , 9
COL,11,9.27,28.45,33%,27.00,61.27,44%,36.27,89.73,40%,13.64,19.55,70%,32.27,13.73,46.00,17.45,7.27,3.36,18.82,21.18,27.73,9.09,10.18,16.55,41.00,95.45,0 , 11
